PRODUCT_NAME;PRODUCT_DESC;PRODUCT_SCHOOL;PRODUCT_CATEGORY;PRODUCT_GENDER;PRODUCT_SIZE;PRODUCT_PRICE;PRODUCT_IMG_LINK;PRODUCT_STOCK
Jacket with Hood;One of our jacket designs for UAAP Ateneo Blue Eagles. ;ATENEO;JACKETS;U | F | M;XS | S | M | L | XL;1200;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/1-thumbnail-SBC-A-106-RB-Jacket-with-Hood-Front-600x600.jpg;47
Jacket without Hood;One of our jacket designs for UAAP Ateneo Blue Eagles. ;ATENEO;JACKETS;U | F | M;XS | S | M | L | XL;1100;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/1-thumbnail-SBC-A-107-RB-Jacket-without-Hood-Front-600x600.jpg;40
Letterman Jacket;One of our jacket designs for UAAP Ateneo Blue Eagles. Yonex fabric;ATENEO;JACKETS;U | F | M;XS | S | M | L | XL;1650;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/1-thumbnail-SBC-A-109-RB-Letterman-Jacket-Front-600x600.jpg;68
Raincoat;One of our raincoat designs for UAAP Ateneo Blue Eagles. Asprey fabric;ATENEO;JACKETS;U | F | M;XS | S | M | L | XL;1350;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/1-thumbnail-SBC-A-112-W-Ateneo-Raincoat-Front-600x600.jpg;69
Lacoste x Ateneo;One of our classic polo shirt designs for UAAP Ateneo Blue Eagles.  65% Polyester, 35% Cotton;ATENEO;POLO SHIRTS;U | F | M;XS | S | M | L | XL;399;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/1-thumbnail-SBC-A-110-W-Polo-A-Front-600x600.jpg;70
Ateneo Sweatshirt;One of our classic sweatshirt designs for UAAP Ateneo Blue Eagles. ;ATENEO;SWEATSHIRTS;       F | M;XS | S | M | L | XL;1700;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_Ateneo_SBC-A-114-W-Ateneo-Sweathirt-Hoodie-Front-600x600.jpg;29
Eagle Head Pocket Tee;One of our new pocket tee designs for UAAP Ateneo Blue Eagles.  65% Polyester, 35% Cotton;ATENEO;POCKET TEES;U | F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_SBC-A-117-W-Ateneo-Pocket-Head-Front-600x600.jpg;27
Animo Lines;One of our new round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-113-GN_Front-600x600.jpg;64
Champshirt 3peat;One of our Champ shirt designs, for UAAP Season 80 Volleyball – DLSU Lady Spikers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-115-GN_Front-600x600.jpg;54
DLSU Embossed;One of our new round-neck cheer shirts for UAAP DLSU Green Archers. 65% Polyester, 35% Cotton;LA SALLE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;480;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_DLSU_SBC-B-114-W_Front-600x600.jpg;51
